#     point_x       point_y       point_z           U_x           U_y           U_z
   0.00181672     0.0011156          0.01  -5.64506e-07   2.36482e-07             0
            0     0.0011156          0.01             0             0             0
            0             0          0.01             0             0             0
   0.00181672             0          0.01             0             0             0
   0.00369508     0.0011156          0.01  -1.27869e-06   2.84756e-07             0
   0.00369508             0          0.01             0             0             0
   0.00563718     0.0011156          0.01  -1.74128e-06   1.41374e-07             0
   0.00563718             0          0.01             0             0             0
   0.00764519     0.0011156          0.01  -1.58924e-06  -1.05637e-07             0
   0.00764519             0          0.01             0             0             0
   0.00972134     0.0011156          0.01  -5.57778e-07  -4.00292e-07             0
   0.00972134             0          0.01             0             0             0
    0.0118679     0.0011156          0.01   1.51053e-06  -7.12506e-07             0
    0.0118679             0          0.01             0             0             0
    0.0140874     0.0011156          0.01   4.71633e-06  -1.02468e-06             0
    0.0140874             0          0.01             0             0             0
    0.0163821     0.0011156          0.01   9.12044e-06  -1.32625e-06             0
    0.0163821             0          0.01             0             0             0
    0.0187548     0.0011156          0.01   1.47552e-05  -1.61075e-06             0
    0.0187548             0          0.01             0             0             0
    0.0212079     0.0011156          0.01   2.16308e-05  -1.87414e-06             0
    0.0212079             0          0.01             0             0             0
    0.0237443     0.0011156          0.01   2.97398e-05  -2.11377e-06             0
    0.0237443             0          0.01             0             0             0
    0.0263667     0.0011156          0.01   3.90593e-05  -2.32783e-06             0
    0.0263667             0          0.01             0             0             0
    0.0290782     0.0011156          0.01   4.95528e-05  -2.51509e-06             0
    0.0290782             0          0.01             0             0             0
    0.0318816     0.0011156          0.01   6.11703e-05  -2.67472e-06             0
    0.0318816             0          0.01             0             0             0
    0.0347802     0.0011156          0.01   7.38495e-05  -2.80616e-06             0
    0.0347802             0          0.01             0             0             0
    0.0377771     0.0011156          0.01   8.75152e-05   -2.9091e-06             0
    0.0377771             0          0.01             0             0             0
    0.0408758     0.0011156          0.01    0.00010208  -2.98339e-06             0
    0.0408758             0          0.01             0             0             0
    0.0440796     0.0011156          0.01   0.000117444  -3.02906e-06             0
    0.0440796             0          0.01             0             0             0
    0.0473921     0.0011156          0.01   0.000133493  -3.04629e-06             0
    0.0473921             0          0.01             0             0             0
     0.050817     0.0011156          0.01   0.000150103  -3.03543e-06             0
     0.050817             0          0.01             0             0             0
    0.0543581     0.0011156          0.01   0.000167136  -2.99698e-06             0
    0.0543581             0          0.01             0             0             0
    0.0580194     0.0011156          0.01   0.000184441  -2.93165e-06             0
    0.0580194             0          0.01             0             0             0
    0.0618049     0.0011156          0.01   0.000201858  -2.84031e-06             0
    0.0618049             0          0.01             0             0             0
    0.0657189     0.0011156          0.01   0.000219213  -2.72406e-06             0
    0.0657189             0          0.01             0             0             0
    0.0697658     0.0011156          0.01   0.000236325  -2.58419e-06             0
    0.0697658             0          0.01             0             0             0
    0.0739499     0.0011156          0.01   0.000253002  -2.42222e-06             0
    0.0739499             0          0.01             0             0             0
     0.078276     0.0011156          0.01   0.000269048  -2.23987e-06             0
     0.078276             0          0.01             0             0             0
    0.0827489     0.0011156          0.01   0.000284259  -2.03906e-06             0
    0.0827489             0          0.01             0             0             0
    0.0873736     0.0011156          0.01    0.00029843  -1.82188e-06             0
    0.0873736             0          0.01             0             0             0
    0.0921553     0.0011156          0.01   0.000311353   -1.5906e-06             0
    0.0921553             0          0.01             0             0             0
    0.0970992     0.0011156          0.01   0.000322823  -1.34756e-06             0
    0.0970992             0          0.01             0             0             0
     0.102211     0.0011156          0.01   0.000332638  -1.09514e-06             0
     0.102211             0          0.01             0             0             0
     0.107496     0.0011156          0.01   0.000340599  -8.35684e-07             0
     0.107496             0          0.01             0             0             0
      0.11296     0.0011156          0.01   0.000346514  -5.71368e-07             0
      0.11296             0          0.01             0             0             0
      0.11861     0.0011156          0.01   0.000350198  -3.04168e-07             0
      0.11861             0          0.01             0             0             0
     0.124452     0.0011156          0.01   0.000351469  -3.57066e-08             0
     0.124452             0          0.01             0             0             0
     0.130492     0.0011156          0.01   0.000350148   2.32937e-07             0
     0.130492             0          0.01             0             0             0
     0.136737     0.0011156          0.01   0.000346056    5.0128e-07             0
     0.136737             0          0.01             0             0             0
     0.143193     0.0011156          0.01   0.000339005    7.6961e-07             0
     0.143193             0          0.01             0             0             0
     0.149869     0.0011156          0.01    0.00032879   1.03903e-06             0
     0.149869             0          0.01             0             0             0
     0.156771     0.0011156          0.01   0.000315178    1.3116e-06             0
     0.156771             0          0.01             0             0             0
     0.163908     0.0011156          0.01   0.000297894   1.59035e-06             0
     0.163908             0          0.01             0             0             0
     0.171287     0.0011156          0.01   0.000276605    1.8793e-06             0
     0.171287             0          0.01             0             0             0
     0.178916     0.0011156          0.01     0.0002509   2.18332e-06             0
