mass_A
t	x	v_{x}
0.0	0.0016345726140746253	
0.0041666666666666284	0.0017078720893517751	0.010329982329836928
0.008333333333333371	0.001720655800156623	0.014006456474185672
0.012500000000000113	0.0018245925599700008	0.022145438028216627
0.016666666666666743	0.0019052011170584415	0.029222928253802846
0.02083333333333337	0.0020681169620850315	0.03388603005545383
0.025	0.0021875847008538674	0.028458242904689093
0.02916666666666663	0.0023052689862907705	0.02713297913845399
0.033333333333333375	0.002413692860340988	0.03379031640770071
0.03750000000000012	0.0025868549563549392	0.03668587620181365
0.04166666666666674	0.002719408495356096	0.036144163140196466
0.04583333333333337	0.002888056315856563	0.04659292677205104
0.05	0.0031076828851231975	0.04865744218666138
0.054166666666666745	0.003293535000745418	0.0403434350337429
0.05833333333333337	0.0034438781770710636	0.046426919616946775
0.0625	0.003680425997553305	0.050645384076298726
0.06666666666666662	0.0038659230443735537	0.055800755649161926
0.07083333333333337	0.0041454322946296585	0.06423182218514993
0.07500000000000011	0.004401188229249814	0.0676958209212735
0.07916666666666675	0.004709564135640276	0.06746997493235152
0.08333333333333337	0.004963438020352734	0.0685790446306337
0.0875	0.0052810561742288875	0.0680600048899088
0.09166666666666663	0.005530604727768618	0.06516463270704138
0.09583333333333337	0.0058240947801208864	0.06053351736603623
0.10000000000000012	0.006035050705818945	0.06669048843169131
0.10416666666666674	0.006379848850385006	0.07799589437047796
0.10833333333333336	0.0066850164922395705	0.07178812847710034
0.1125	0.006978083254360834	0.06841392894326043
0.11666666666666674	0.007255132566766742	0.06328009063256948
0.12083333333333338	0.007505417342965559	0.07187420535669455
0.125	0.007854084278072548	0.0807700016180604
0.12916666666666674	0.008178500689782736	0.07696342223520325
0.13333333333333336	0.008495446130032558	0.08589091783918303
0.13750000000000012	0.008894258338442596	0.0885734733642583
0.14166666666666675	0.009233558408068054	0.08158117202024308
0.14583333333333337	0.009574101438611288	0.08617590855109128
0.15	0.009951690979327132	0.08049096398237635
0.15416666666666662	0.010244859471797763	0.089244119919935
0.15833333333333338	0.01069539197865993	0.09668655784934375
0.16250000000000012	0.011050580787208969	0.09560714285581061
0.16666666666666674	0.011492118169125043	0.10140253510251107
0.17083333333333336	0.011895601913063214	0.09959168089889092
0.175	0.012322048843282446	0.10497118856708909
0.17916666666666675	0.012770361817788956	0.0904090989695632
0.18333333333333338	0.013075458001362145	0.09160184571921634
0.1875	0.013533710532115772	0.10915761610074742
0.19166666666666674	0.01398510480220172	0.11151557018781111
0.19583333333333336	0.014463006950347523	0.11709260957126796
0.20000000000000012	0.01496087654862896	0.12096866340720394
0.20416666666666675	0.015471079145407574	0.12064373819581255
0.20833333333333337	0.015966241033594036	0.11892530312114809
0.2125	0.01646212333808378	0.12362888622902724
0.21666666666666662	0.01699648175216925	0.12093855495915976
0.2208333333333335	0.01746994462941015	0.11850616794908589
0.22500000000000012	0.017984033151744988	0.11573033379748862
0.22916666666666674	0.01843436407772253	0.12754680298836826
0.23333333333333336	0.01904692317664805	0.12666234919253666
0.2375	0.019489883654326995	0.12239754528996495
0.24166666666666675	0.02006690272073111	0.1333783125797445
0.24583333333333338	0.020601369592491536	0.12757227755328987
0.25	0.02113000503367518	0.13060447617986565
0.25416666666666676	0.021689740227323756	0.13063736662708944
0.25833333333333336	0.022218649755567588	0.13505765927308974
0.2625000000000001	0.022815220721266183	0.13889125048401563
0.2666666666666667	0.023376076842934385	0.13743042522197654
0.27083333333333337	0.02396047426478265	0.13687273776199751
0.275	0.024516682990951028	0.14045212830581505
0.2791666666666666	0.025130908667331087	0.13621023076017172
0.2833333333333335	0.025651768247285822	0.13805626586951456
0.2875000000000001	0.026281377549577073	0.15394820328392103
0.29166666666666674	0.026934669941318462	0.07798970021508297
0.2958333333333334	0.02693129171803607	-8.463469774904902E-4
0.3	0.026927617049839397	0.21594463827577506
0.30416666666666675	0.02873083037033422	0.29152526884789914
0.30833333333333335	0.029356994290238553	0.1540193672801296
0.3125000000000001	0.03001432509766863	0.16104434152585
0.31666666666666676	0.030699030469620664	0.17130477125430218
0.32083333333333336	0.031441864858121144	0.1658579189972619
0.3250000000000001	0.03208117979459785	0.14860791182679364
0.3291666666666667	0.032680264123344405	0.15314588655507394
0.33333333333333337	0.03335739551589012	0.1607121185792462
0.3375	0.03401953177817146	0.15743643263599405
0.3416666666666666	0.034669365787856704	0.16566176829795842
0.3458333333333335	0.035400046513987815	0.17981611348125803
0.3500000000000001	0.03616783340020055	0.18271703446962567
0.35416666666666674	0.03692268846790134	0.17175810182946696
0.3583333333333334	0.037599150915446106	0.1741803824536062
0.3625	0.03837419165501471	0.1769316180650045
0.36666666666666675	0.03907358106598782	0.1721899384666303
0.37083333333333335	0.03980910780890329	0.18253131794027835
0.3750000000000001	0.0405946753821568	0.19287741698815308
0.37916666666666676	0.041416419617137934	0.1846553490752702
0.38333333333333336	0.04213346995778405	0.17809289106780726
0.3875000000000001	0.042900527042703	0.17938336400925478
0.3916666666666667	0.04362833132452784	0.18158855615303834
0.39583333333333337	0.04441376501064495	0.18044639097687698
0.4	0.04513205124933514	0.17465520832093778
0.4041666666666666	0.04586922507998609	0.17353974650363005
0.4083333333333335	0.04657821580353208	0.18904890743676692
0.4125000000000001	0.04744463264195917	0.1885570431115349
0.41666666666666674	0.04814952449612819	0.17491160337642106
0.4208333333333334	0.04890222933676269	0.1711320806868185
0.425	0.04957562516851832	0.17916301200888055
0.42916666666666675	0.05039525443683668	0.18762738367038492
0.43333333333333335	0.05113918669910486	0.18683773115487567
0.4375	0.05195223552979397	0.19646230319028327
