mass_A
t	v_{x}	x
0.0		2.33042714296805E-4
0.0041666666666666284	0.08438674891916721	5.533057498871563E-4
0.008333333333333257	0.09514338630690218	9.362656219565335E-4
0.0125	0.09837754358187245	0.0013461673024446619
0.016666666666666743	0.09513638912325861	0.0017560784851388123
0.02083333333333337	0.1060308905839225	0.00213897054513848
0.025	0.12665668114840956	0.0026396692400048327
0.02916666666666663	0.13962063489024545	0.003194442888041882
0.03333333333333326	0.15579526030823795	0.0038031745307568754
0.0375	0.16910340778227553	0.004492736723943874
0.04166666666666674	0.1748897414890258	0.005212369595609223
0.04583333333333337	0.17593460910875217	0.005950151236352452
0.05	0.17823600133554027	0.0066784913381821576
0.05416666666666663	0.1920173838472297	0.007435451247481933
0.05833333333333337	0.20036290921474373	0.008278636203575745
0.0625	0.2127685018501669	0.0091051421576048
0.06666666666666662	0.23450824649561103	0.010051707052327108
0.07083333333333326	0.23512211159724974	0.011059377545068222
0.075	0.22788214073913515	0.012011057982304202
0.07916666666666675	0.23294273052829964	0.012958395384561033
0.08333333333333337	0.24804231614271197	0.013952247403373391
0.0875	0.2715842604548343	0.015025414685750277
0.09166666666666663	0.2767222826105645	0.01621544957383031
0.09583333333333326	0.27000057149789214	0.01733143370750498
0.1	0.274002240179902	0.018465454336312748
0.10416666666666674	0.29792347388640744	0.019614785709004184
0.10833333333333336	0.31297535781820285	0.02094814995203284
0.1125	0.30902431979752104	0.02222291369082252
0.11666666666666663	0.3120266911782612	0.02352335261701216
0.12083333333333338	0.3171570618636176	0.024823136117308048
0.125	0.3319884628019529	0.0261663281325423
0.12916666666666662	0.3550965249406338	0.02758970664065763
0.13333333333333336	0.36524720492320845	0.02912546584038092
0.1375	0.36513361528470684	0.030633433348351058
0.14166666666666675	0.37042829004170624	0.0321682459677535
0.14583333333333337	0.36993244408472825	0.03372033576536529
0.15	0.37270134100927177	0.0352510163351262
0.15416666666666662	0.39766142808195126	0.03682618027377585
0.15833333333333327	0.4098551063214283	0.03856486156914246
0.1625	0.4086108589962213	0.040241639493121095
0.16666666666666674	0.39673164207166695	0.04196995206077769
0.17083333333333336	0.1893663200688636	0.043547736510385016
0.175	0.0013789352842290166	0.0435480047280182
0.17916666666666664	0.6536702622724734	0.04355922763775358
0.18333333333333338	0.8713889081861687	0.048995256913622165
0.1875	0.44674546299362605	0.05082080187263835
0.19166666666666662	0.45254486336278	0.05271813577190235
0.19583333333333336	0.4600500253995628	0.05459200906732822
0.2	0.44996013181954486	0.056551885983565364
0.20416666666666675	0.45379163562350294	0.05834167683249114
0.20833333333333337	0.47220150054832755	0.06033348294709456
0.2125	0.47960612754542814	0.06227668933706054
0.21666666666666662	0.48247162895967405	0.06433020067663975
0.22083333333333327	0.4912274024022637	0.06629728624505776
0.22500000000000012	0.4981198165184273	0.06842376236332531
0.22916666666666674	0.48175563849272923	0.07044828471604475
0.23333333333333336	0.48771713197398514	0.07243839268409796
0.2375	0.5034468152928454	0.07451259414916128
0.24166666666666664	0.5130574989851037	0.07663378281153826
0.24583333333333338	0.5271937902520817	0.07878807330737053
0.25	0.5283166872082595	0.08102706439697233
0.25416666666666665	0.5295207145894925	0.0831907123674393
0.25833333333333336	0.5153083726254167	0.0854397370185514
0.2625	0.51641729300263	0.08748494880598445
0.2666666666666667	0.544299250478331	0.08974321446024003
0.27083333333333337	0.5601975523937248	0.09202077589330393
0.275	0.5538576621088268	0.09441152739685438
0.2791666666666666	0.5499218825023721	0.09663625641087747
0.28333333333333327	0.5384072792730975	0.09899420975104078
0.2875000000000001	0.2493357427479388	0.10112298373815337
0.29166666666666674	-0.01030026657125707	0.10107200760727364
0.2958333333333334	0.8408521216294198	0.10103714818339293
0.3	1.1249505063302507	0.10807910862085207
0.30416666666666664	0.545944454851168	0.11041173573614488
0.30833333333333335	0.5546280555150606	0.11262864574461184
0.3125	0.583195150502498	0.11503363619877044
0.31666666666666676	0.5793697401838993	0.11748860533213268
0.32083333333333336	0.5927174592748443	0.1198617173669696
0.325	0.588005632037806	0.12242791749275633
0.3291666666666667	0.5630002143475604	0.12476176430061797
0.33333333333333337	0.5798488850530068	0.1271195859456527
0.3375	0.6040626567800699	0.12959383834272636
0.3416666666666666	0.6031111335025794	0.1321534414188199
0.34583333333333327	0.5983093404680228	0.13461976445524781
0.3500000000000001	0.599164884164589	0.1371393525893868
0.35416666666666674	0.5783823963583425	0.13961280515661945
0.3583333333333334	0.5705590446460809	0.14195920589237299
0.3625	0.5948355390345634	0.14436746386200344
0.36666666666666664	0.6019212127566033	0.146916168717661
0.37083333333333335	0.607316173951523	0.14938347396830848
0.375	0.5912330052882486	0.15197713683392367
0.37916666666666676	0.5836272913947227	0.1543104156790439
0.38333333333333336	0.6007403227077092	0.15684069759554636
0.3875	0.5968862963500907	0.15931658503494145
0.3916666666666667	0.601260470179206	0.16181475006513052
0.39583333333333337	0.5814874147460548	0.1643270889531015
0.4	0.5662705132737877	0.16666047852134758
0.4041666666666666	0.5880845042204651	0.1690460098970497
0.40833333333333327	0.5882434071097908	0.17156118272318477
0.4125000000000001	0.5888434367804698	0.17394803828963135
0.41666666666666674	0.5748237760488326	0.1764682113630221
0.4208333333333334	0.567563330844708	0.1787382364233716
0.425	0.5792764353808783	0.18119790578672795
0.42916666666666664	0.5735675313875042	0.18356554005154557
0.43333333333333335	0.2945682874690217	0.18597763521495714
0.4375	0.008873157552155068	0.1860202757804541
0.44166666666666665	0.8404105050479129	0.18605157819455848
0.44583333333333325	1.1222065579625615	0.19302369665585328
0.4499999999999999	0.5574720232114315	0.195403299510913
0.4541666666666666	0.5522260579430078	0.19766929684928192
0.4583333333333335	0.5524644003662759	0.20000518332710487
0.46250000000000013	0.5184271322102577	0.20227316685233432
0.46666666666666684	0.5161217302735074	0.20432540942885707
0.4708333333333334	0.5390211842197403	0.20657418127128013
0.4750000000000001	0.5322913479806732	0.20881725263068818
0.47916666666666663	0.5170633389157286	0.21100994250445237
0.4833333333333334	0.4972654157208464	0.21312611378831925
0.4875000000000001	0.4952463705358799	0.21515382096879282
0.49166666666666664	0.495838464814563	0.21725316687611818
0.49583333333333335	0.4818743965264593	0.2192858081755808
0.4999999999999999	0.44934468626672036	0.221268786847172
0.5041666666666667	0.43242541850134125	0.22303034722780346
0.5083333333333334	0.4423019275845327	0.22487233200134993
0.5124999999999998	0.4486688223745702	0.22671619662434117
0.5166666666666668	0.43907574645109093	0.22861123885447138
0.5208333333333334	0.4038306577162016	0.23037516117810036
0.5250000000000001	0.1879909109053804	0.2319764943354397
0.5291666666666669	-0.0068298768025671095	0.23194175210231188
0.5333333333333333	0.57937860152982	0.2319195786954183
0.5375000000000001	0.7393186039024192	0.2367699071150603
0.5416666666666666	0.3101009628579737	0.2380805670612718
0.5458333333333334	0.31420969992307063	0.2393540818055434
0.5500000000000002	0.31028998896738336	0.24069898122729744
0.5541666666666666	0.29551185568713323	0.2419398317136049
0.5583333333333333	0.280923612208151	0.24316158002469018
0.5624999999999999	0.267960121556174	0.24428086181533948
0.5666666666666667	0.24582960704340356	0.24539458103765827
0.5708333333333334	0.22805188698784745	0.24632944187403455
0.5749999999999998	0.21237963205500243	0.24729501342922366
0.5791666666666668	0.2006979896005417	0.24809927214115962
