#     point_x       point_y       point_z           U_x           U_y           U_z
   0.00181672     0.0011156          0.01  -5.30357e-07   1.03975e-07             0
            0     0.0011156          0.01             0             0             0
            0             0          0.01             0             0             0
   0.00181672             0          0.01             0             0             0
   0.00369508     0.0011156          0.01  -1.10668e-06   1.90822e-07             0
   0.00369508             0          0.01             0             0             0
   0.00563718     0.0011156          0.01  -1.46659e-06   9.38508e-08             0
   0.00563718             0          0.01             0             0             0
   0.00764519     0.0011156          0.01  -1.34617e-06  -9.66119e-08             0
   0.00764519             0          0.01             0             0             0
   0.00972134     0.0011156          0.01   -5.1261e-07  -3.30211e-07             0
   0.00972134             0          0.01             0             0             0
    0.0118679     0.0011156          0.01    1.1642e-06  -5.81747e-07             0
    0.0118679             0          0.01             0             0             0
    0.0140874     0.0011156          0.01   3.76825e-06   -8.3617e-07             0
    0.0140874             0          0.01             0             0             0
    0.0163821     0.0011156          0.01   7.35303e-06  -1.08353e-06             0
    0.0163821             0          0.01             0             0             0
    0.0187548     0.0011156          0.01   1.19503e-05  -1.31803e-06             0
    0.0187548             0          0.01             0             0             0
    0.0212079     0.0011156          0.01   1.75737e-05  -1.53653e-06             0
    0.0212079             0          0.01             0             0             0
    0.0237443     0.0011156          0.01   2.42226e-05  -1.73702e-06             0
    0.0237443             0          0.01             0             0             0
    0.0263667     0.0011156          0.01   3.18845e-05  -1.91801e-06             0
    0.0263667             0          0.01             0             0             0
    0.0290782     0.0011156          0.01   4.05365e-05  -2.07846e-06             0
    0.0290782             0          0.01             0             0             0
    0.0318816     0.0011156          0.01   5.01454e-05   -2.2176e-06             0
    0.0318816             0          0.01             0             0             0
    0.0347802     0.0011156          0.01   6.06687e-05  -2.33494e-06             0
    0.0347802             0          0.01             0             0             0
    0.0377771     0.0011156          0.01   7.20539e-05  -2.43015e-06             0
    0.0377771             0          0.01             0             0             0
    0.0408758     0.0011156          0.01   8.42386e-05  -2.50303e-06             0
    0.0408758             0          0.01             0             0             0
    0.0440796     0.0011156          0.01   9.71505e-05  -2.55348e-06             0
    0.0440796             0          0.01             0             0             0
    0.0473921     0.0011156          0.01   0.000110707  -2.58152e-06             0
    0.0473921             0          0.01             0             0             0
     0.050817     0.0011156          0.01   0.000124815  -2.58724e-06             0
     0.050817             0          0.01             0             0             0
    0.0543581     0.0011156          0.01    0.00013937  -2.57086e-06             0
    0.0543581             0          0.01             0             0             0
    0.0580194     0.0011156          0.01    0.00015426   -2.5327e-06             0
    0.0580194             0          0.01             0             0             0
    0.0618049     0.0011156          0.01   0.000169358  -2.47321e-06             0
    0.0618049             0          0.01             0             0             0
    0.0657189     0.0011156          0.01   0.000184529  -2.39297e-06             0
    0.0657189             0          0.01             0             0             0
    0.0697658     0.0011156          0.01    0.00019963  -2.29274e-06             0
    0.0697658             0          0.01             0             0             0
    0.0739499     0.0011156          0.01   0.000214506  -2.17338e-06             0
    0.0739499             0          0.01             0             0             0
     0.078276     0.0011156          0.01   0.000228994  -2.03597e-06             0
     0.078276             0          0.01             0             0             0
    0.0827489     0.0011156          0.01   0.000242926  -1.88169e-06             0
    0.0827489             0          0.01             0             0             0
    0.0873736     0.0011156          0.01   0.000256125  -1.71191e-06             0
    0.0873736             0          0.01             0             0             0
    0.0921553     0.0011156          0.01   0.000268412  -1.52812e-06             0
    0.0921553             0          0.01             0             0             0
    0.0970992     0.0011156          0.01   0.000279603    -1.332e-06             0
    0.0970992             0          0.01             0             0             0
     0.102211     0.0011156          0.01   0.000289512  -1.12518e-06             0
     0.102211             0          0.01             0             0             0
     0.107496     0.0011156          0.01   0.000297954  -9.09343e-07             0
     0.107496             0          0.01             0             0             0
      0.11296     0.0011156          0.01   0.000304745  -6.86157e-07             0
      0.11296             0          0.01             0             0             0
      0.11861     0.0011156          0.01   0.000309701  -4.57199e-07             0
      0.11861             0          0.01             0             0             0
     0.124452     0.0011156          0.01   0.000312638  -2.23888e-07             0
     0.124452             0          0.01             0             0             0
     0.130492     0.0011156          0.01   0.000313374   1.27588e-08             0
     0.130492             0          0.01             0             0             0
     0.136737     0.0011156          0.01   0.000311723   2.52064e-07             0
     0.136737             0          0.01             0             0             0
     0.143193     0.0011156          0.01   0.000307493     4.939e-07             0
     0.143193             0          0.01             0             0             0
     0.149869     0.0011156          0.01   0.000300478   7.38689e-07             0
     0.149869             0          0.01             0             0             0
     0.156771     0.0011156          0.01   0.000290452   9.87553e-07             0
     0.156771             0          0.01             0             0             0
     0.163908     0.0011156          0.01   0.000277158   1.24245e-06             0
     0.163908             0          0.01             0             0             0
     0.171287     0.0011156          0.01   0.000260297   1.50607e-06             0
     0.171287             0          0.01             0             0             0
     0.178916     0.0011156          0.01   0.000239512   1.78188e-06             0
     0.178916             0          0.01             0             0             0
     0.186804     0.0011156          0.01   0.000214371   2.07416e-06             0
     0.186804             0          0.01             0             0             0
      0.19496     0.0011156          0.01   0.000184356    2.3877e-06             0
      0.19496             0          0.01             0             0             0
     0.203392     0.0011156          0.01    0.00014884    2.7277e-06             0
     0.203392             0          0.01             0             0             0
     0.212111     0.0011156          0.01   0.000107073   3.09958e-06             0
     0.212111             0          0.01             0             0             0
     0.221125     0.0011156          0.01   5.81721e-05   3.50857e-06             0
     0.221125             0          0.01             0             0             0
     0.230446     0.0011156          0.01    1.1089e-06   3.95947e-06             0
     0.230446             0          0.01             0             0             0
     0.240082     0.0011156          0.01  -6.52933e-05   4.45616e-06             0
     0.240082             0          0.01             0             0             0
     0.250046     0.0011156          0.01  -0.000142357   5.00129e-06             0
     0.250046             0          0.01             0             0             0
     0.260347     0.0011156          0.01  -0.000231537   5.59583e-06             0
     0.260347             0          0.01             0             0             0
     0.270999     0.0011156          0.01  -0.000334398   6.23852e-06             0
     0.270999             0          0.01             0             0             0
     0.282012     0.0011156          0.01   -0.00045258   6.92542e-06             0
     0.282012             0          0.01             0             0             0
     0.293398     0.0011156          0.01  -0.000587733   7.64895e-06             0
     0.293398             0          0.01             0             0             0
     0.305171     0.0011156          0.01  -0.000741446   8.39726e-06             0
     0.305171             0          0.01             0             0             0
     0.317343     0.0011156          0.01  -0.000915124   9.15321e-06             0
     0.317343             0          0.01             0             0             0
     0.329929     0.0011156          0.01   -0.00110984   9.89305e-06             0
     0.329929             0          0.01             0             0             0
     0.342941     0.0011156          0.01   -0.00132614   1.05857e-05             0
     0.342941             0          0.01             0             0             0
     0.356395     0.0011156          0.01   -0.00156379   1.11909e-05             0
     0.356395             0          0.01             0             0             0
     0.370306     0.0011156          0.01   -0.00182144   1.16594e-05             0
     0.370306             0          0.01             0             0             0
     0.384688     0.0011156          0.01   -0.00209631   1.19324e-05             0
     0.384688             0          0.01             0             0             0
     0.399559     0.0011156          0.01   -0.00238374   1.19422e-05             0
     0.399559             0          0.01             0             0             0
     0.414934     0.0011156          0.01   -0.00267681   1.16144e-05             0
     0.414934             0          0.01             0             0             0
     0.430831     0.0011156          0.01   -0.00296592    1.0872e-05             0
     0.430831             0          0.01             0             0             0
     0.447268     0.0011156          0.01   -0.00323846   9.64114e-06             0
     0.447268             0          0.01             0             0             0
     0.464262     0.0011156          0.01   -0.00347875   7.86005e-06             0
     0.464262             0          0.01             0             0             0
     0.481833     0.0011156          0.01   -0.00366813   5.49138e-06             0
     0.481833             0          0.01             0             0             0
          0.5     0.0011156          0.01   -0.00378498   2.56126e-06             0
          0.5             0          0.01             0             0             0
     0.518167     0.0011156          0.01   -0.00381024  -7.75047e-07             0
     0.518167             0          0.01             0             0             0
     0.535738     0.0011156          0.01   -0.00373737  -4.28064e-06             0
     0.535738             0          0.01             0             0             0
     0.552732     0.0011156          0.01   -0.00357099  -7.74532e-06             0
     0.552732             0          0.01             0             0             0
     0.569169     0.0011156          0.01   -0.00332094  -1.09925e-05             0
     0.569169             0          0.01             0             0             0
     0.585066     0.0011156          0.01   -0.00300067  -1.38655e-05             0
     0.585066             0          0.01             0             0             0
     0.600441     0.0011156          0.01     -0.002626  -1.62392e-05             0
     0.600441             0          0.01             0             0             0
     0.615312     0.0011156          0.01   -0.00221394  -1.80273e-05             0
     0.615312             0          0.01             0             0             0
     0.629694     0.0011156          0.01   -0.00178151  -1.91845e-05             0
     0.629694             0          0.01             0             0             0
     0.643605     0.0011156          0.01   -0.00134468   -1.9706e-05             0
     0.643605             0          0.01             0             0             0
     0.657059     0.0011156          0.01  -0.000917629  -1.96232e-05             0
     0.657059             0          0.01             0             0             0
     0.670071     0.0011156          0.01  -0.000512174  -1.89966e-05             0
     0.670071             0          0.01             0             0             0
     0.682657     0.0011156          0.01  -0.000137502  -1.79075e-05             0
     0.682657             0          0.01             0             0             0
     0.694829     0.0011156          0.01    0.00019988  -1.64497e-05             0
     0.694829             0          0.01             0             0             0
     0.706602     0.0011156          0.01   0.000496003  -1.47207e-05             0
     0.706602             0          0.01             0             0             0
     0.717988     0.0011156          0.01   0.000749151  -1.28153e-05             0
     0.717988             0          0.01             0             0             0
     0.729001     0.0011156          0.01   0.000959496  -1.08202e-05             0
     0.729001             0          0.01             0             0             0
     0.739653     0.0011156          0.01    0.00112869   -8.8103e-06             0
     0.739653             0          0.01             0             0             0
     0.749954     0.0011156          0.01    0.00125949  -6.84703e-06             0
     0.749954             0          0.01             0             0             0
     0.759918     0.0011156          0.01    0.00135536  -4.97811e-06             0
     0.759918             0          0.01             0             0             0
     0.769554     0.0011156          0.01    0.00142016  -3.23795e-06             0
