#     point_x       point_y       point_z           U_x           U_y           U_z
   0.00181672     0.0011156          0.01  -5.34032e-07  -7.53122e-08             0
            0     0.0011156          0.01             0             0             0
            0             0          0.01             0             0             0
   0.00181672             0          0.01             0             0             0
   0.00369508     0.0011156          0.01  -9.61007e-07   7.87598e-08             0
   0.00369508             0          0.01             0             0             0
   0.00563718     0.0011156          0.01  -1.19764e-06   3.87787e-08             0
   0.00563718             0          0.01             0             0             0
   0.00764519     0.0011156          0.01  -1.10334e-06  -9.04047e-08             0
   0.00764519             0          0.01             0             0             0
   0.00972134     0.0011156          0.01  -4.69548e-07   -2.5959e-07             0
   0.00972134             0          0.01             0             0             0
    0.0118679     0.0011156          0.01   8.06434e-07  -4.47755e-07             0
    0.0118679             0          0.01             0             0             0
    0.0140874     0.0011156          0.01   2.79136e-06  -6.42032e-07             0
    0.0140874             0          0.01             0             0             0
    0.0163821     0.0011156          0.01   5.53079e-06  -8.32812e-07             0
    0.0163821             0          0.01             0             0             0
    0.0187548     0.0011156          0.01   9.05517e-06  -1.01485e-06             0
    0.0187548             0          0.01             0             0             0
    0.0212079     0.0011156          0.01   1.33805e-05  -1.18591e-06             0
    0.0212079             0          0.01             0             0             0
    0.0237443     0.0011156          0.01   1.85118e-05  -1.34461e-06             0
    0.0237443             0          0.01             0             0             0
    0.0263667     0.0011156          0.01   2.44457e-05  -1.48977e-06             0
    0.0263667             0          0.01             0             0             0
    0.0290782     0.0011156          0.01   3.11715e-05  -1.62054e-06             0
    0.0290782             0          0.01             0             0             0
    0.0318816     0.0011156          0.01   3.86715e-05   -1.7362e-06             0
    0.0318816             0          0.01             0             0             0
    0.0347802     0.0011156          0.01   4.69211e-05  -1.83636e-06             0
    0.0347802             0          0.01             0             0             0
    0.0377771     0.0011156          0.01   5.58889e-05  -1.92066e-06             0
    0.0377771             0          0.01             0             0             0
    0.0408758     0.0011156          0.01   6.55365e-05  -1.98892e-06             0
    0.0408758             0          0.01             0             0             0
    0.0440796     0.0011156          0.01   7.58177e-05  -2.04093e-06             0
    0.0440796             0          0.01             0             0             0
    0.0473921     0.0011156          0.01   8.66789e-05   -2.0766e-06             0
    0.0473921             0          0.01             0             0             0
     0.050817     0.0011156          0.01   9.80585e-05  -2.09584e-06             0
     0.050817             0          0.01             0             0             0
    0.0543581     0.0011156          0.01   0.000109886  -2.09865e-06             0
    0.0543581             0          0.01             0             0             0
    0.0580194     0.0011156          0.01   0.000122084  -2.08504e-06             0
    0.0580194             0          0.01             0             0             0
    0.0618049     0.0011156          0.01   0.000134564  -2.05513e-06             0
    0.0618049             0          0.01             0             0             0
    0.0657189     0.0011156          0.01   0.000147229  -2.00911e-06             0
    0.0657189             0          0.01             0             0             0
    0.0697658     0.0011156          0.01   0.000159975  -1.94724e-06             0
    0.0697658             0          0.01             0             0             0
    0.0739499     0.0011156          0.01   0.000172686  -1.86989e-06             0
    0.0739499             0          0.01             0             0             0
     0.078276     0.0011156          0.01   0.000185241  -1.77755e-06             0
     0.078276             0          0.01             0             0             0
    0.0827489     0.0011156          0.01   0.000197507  -1.67077e-06             0
    0.0827489             0          0.01             0             0             0
    0.0873736     0.0011156          0.01   0.000209346  -1.55026e-06             0
    0.0873736             0          0.01             0             0             0
    0.0921553     0.0011156          0.01   0.000220611  -1.41682e-06             0
    0.0921553             0          0.01             0             0             0
    0.0970992     0.0011156          0.01   0.000231151  -1.27147e-06             0
    0.0970992             0          0.01             0             0             0
     0.102211     0.0011156          0.01   0.000240807  -1.11513e-06             0
     0.102211             0          0.01             0             0             0
     0.107496     0.0011156          0.01   0.000249416  -9.48824e-07             0
     0.107496             0          0.01             0             0             0
      0.11296     0.0011156          0.01   0.000256814  -7.73612e-07             0
      0.11296             0          0.01             0             0             0
      0.11861     0.0011156          0.01   0.000262829  -5.90614e-07             0
      0.11861             0          0.01             0             0             0
