#     point_x       point_y       point_z           U_x           U_y           U_z
   0.00181672     0.0011156          0.01  -6.09047e-07   1.99704e-07             0
            0     0.0011156          0.01             0             0             0
            0             0          0.01             0             0             0
   0.00181672             0          0.01             0             0             0
   0.00369508     0.0011156          0.01  -1.32612e-06   2.72106e-07             0
   0.00369508             0          0.01             0             0             0
   0.00563718     0.0011156          0.01  -1.77786e-06   1.37179e-07             0
   0.00563718             0          0.01             0             0             0
   0.00764519     0.0011156          0.01  -1.61705e-06  -1.09316e-07             0
   0.00764519             0          0.01             0             0             0
   0.00972134     0.0011156          0.01  -5.69459e-07  -4.06019e-07             0
   0.00972134             0          0.01             0             0             0
    0.0118679     0.0011156          0.01   1.52523e-06  -7.21226e-07             0
    0.0118679             0          0.01             0             0             0
    0.0140874     0.0011156          0.01   4.76932e-06  -1.03658e-06             0
    0.0140874             0          0.01             0             0             0
    0.0163821     0.0011156          0.01   9.22445e-06  -1.34127e-06             0
    0.0163821             0          0.01             0             0             0
    0.0187548     0.0011156          0.01   1.49231e-05  -1.62872e-06             0
    0.0187548             0          0.01             0             0             0
    0.0212079     0.0011156          0.01   2.18754e-05  -1.89477e-06             0
    0.0212079             0          0.01             0             0             0
    0.0237443     0.0011156          0.01   3.00736e-05  -2.13671e-06             0
    0.0237443             0          0.01             0             0             0
    0.0263667     0.0011156          0.01    3.9494e-05  -2.35272e-06             0
    0.0263667             0          0.01             0             0             0
    0.0290782     0.0011156          0.01   5.00992e-05  -2.54154e-06             0
    0.0290782             0          0.01             0             0             0
    0.0318816     0.0011156          0.01   6.18383e-05  -2.70234e-06             0
    0.0318816             0          0.01             0             0             0
    0.0347802     0.0011156          0.01   7.46476e-05  -2.83455e-06             0
    0.0347802             0          0.01             0             0             0
    0.0377771     0.0011156          0.01   8.84507e-05  -2.93787e-06             0
    0.0377771             0          0.01             0             0             0
    0.0408758     0.0011156          0.01   0.000103158  -3.01215e-06             0
    0.0408758             0          0.01             0             0             0
    0.0440796     0.0011156          0.01   0.000118669  -3.05742e-06             0
    0.0440796             0          0.01             0             0             0
    0.0473921     0.0011156          0.01   0.000134867  -3.07388e-06             0
    0.0473921             0          0.01             0             0             0
     0.050817     0.0011156          0.01   0.000151625  -3.06189e-06             0
     0.050817             0          0.01             0             0             0
    0.0543581     0.0011156          0.01   0.000168804  -3.02199e-06             0
    0.0543581             0          0.01             0             0             0
    0.0580194     0.0011156          0.01    0.00018625  -2.95489e-06             0
    0.0580194             0          0.01             0             0             0
    0.0618049     0.0011156          0.01   0.000203802  -2.86152e-06             0
    0.0618049             0          0.01             0             0             0
    0.0657189     0.0011156          0.01   0.000221282  -2.74298e-06             0
    0.0657189             0          0.01             0             0             0
    0.0697658     0.0011156          0.01   0.000238508  -2.60062e-06             0
    0.0697658             0          0.01             0             0             0
    0.0739499     0.0011156          0.01   0.000255286  -2.43599e-06             0
    0.0739499             0          0.01             0             0             0
     0.078276     0.0011156          0.01   0.000271417  -2.25086e-06             0
     0.078276             0          0.01             0             0             0
    0.0827489     0.0011156          0.01   0.000286696   -2.0472e-06             0
    0.0827489             0          0.01             0             0             0
    0.0873736     0.0011156          0.01   0.000300915  -1.82715e-06             0
    0.0873736             0          0.01             0             0             0
    0.0921553     0.0011156          0.01   0.000313867    -1.593e-06             0
    0.0921553             0          0.01             0             0             0
    0.0970992     0.0011156          0.01   0.000325344   -1.3472e-06             0
    0.0970992             0          0.01             0             0             0
     0.102211     0.0011156          0.01   0.000335142  -1.09211e-06             0
     0.102211             0          0.01             0             0             0
     0.107496     0.0011156          0.01   0.000343065  -8.30131e-07             0
     0.107496             0          0.01             0             0             0
      0.11296     0.0011156          0.01   0.000348918   -5.6348e-07             0
      0.11296             0          0.01             0             0             0
      0.11861     0.0011156          0.01   0.000352517  -2.94137e-07             0
      0.11861             0          0.01             0             0             0
     0.124452     0.0011156          0.01   0.000353681  -2.37616e-08             0
     0.124452             0          0.01             0             0             0
     0.130492     0.0011156          0.01   0.000352231   2.46593e-07             0
     0.130492             0          0.01             0             0             0
     0.136737     0.0011156          0.01    0.00034799   5.16444e-07             0
     0.136737             0          0.01             0             0             0
     0.143193     0.0011156          0.01   0.000340769   7.86126e-07             0
     0.143193             0          0.01             0             0             0
     0.149869     0.0011156          0.01   0.000330363    1.0568e-06             0
     0.149869             0          0.01             0             0             0
     0.156771     0.0011156          0.01    0.00031654   1.33056e-06             0
     0.156771             0          0.01             0             0             0
     0.163908     0.0011156          0.01   0.000299023   1.61053e-06             0
     0.163908             0          0.01             0             0             0
     0.171287     0.0011156          0.01   0.000277477   1.90078e-06             0
     0.171287             0          0.01             0             0             0
     0.178916     0.0011156          0.01   0.000251491   2.20629e-06             0
     0.178916             0          0.01             0             0             0
     0.186804     0.0011156          0.01   0.000220554   2.53284e-06             0
     0.186804             0          0.01             0             0             0
      0.19496     0.0011156          0.01   0.000184044   2.88666e-06             0
      0.19496             0          0.01             0             0             0
     0.203392     0.0011156          0.01   0.000141201   3.27418e-06             0
     0.203392             0          0.01             0             0             0
     0.212111     0.0011156          0.01   9.11188e-05   3.70188e-06             0
     0.212111             0          0.01             0             0             0
     0.221125     0.0011156          0.01   3.27266e-05   4.17573e-06             0
     0.221125             0          0.01             0             0             0
     0.230446     0.0011156          0.01  -3.52138e-05   4.70105e-06             0
     0.230446             0          0.01             0             0             0
     0.240082     0.0011156          0.01  -0.000114111   5.28177e-06             0
     0.240082             0          0.01             0             0             0
     0.250046     0.0011156          0.01  -0.000205538   5.92033e-06             0
     0.250046             0          0.01             0             0             0
     0.260347     0.0011156          0.01  -0.000311215   6.61735e-06             0
     0.260347             0          0.01             0             0             0
     0.270999     0.0011156          0.01  -0.000432983   7.37078e-06             0
     0.270999             0          0.01             0             0             0
     0.282012     0.0011156          0.01   -0.00057276   8.17575e-06             0
     0.282012             0          0.01             0             0             0
     0.293398     0.0011156          0.01  -0.000732477   9.02326e-06             0
     0.293398             0          0.01             0             0             0
     0.305171     0.0011156          0.01  -0.000913985   9.89939e-06             0
     0.305171             0          0.01             0             0             0
     0.317343     0.0011156          0.01   -0.00111893   1.07845e-05             0
     0.317343             0          0.01             0             0             0
     0.329929     0.0011156          0.01   -0.00134857   1.16514e-05             0
     0.329929             0          0.01             0             0             0
     0.342941     0.0011156          0.01   -0.00160356   1.24646e-05             0
     0.342941             0          0.01             0             0             0
     0.356395     0.0011156          0.01   -0.00188367   1.31784e-05             0
     0.356395             0          0.01             0             0             0
     0.370306     0.0011156          0.01   -0.00218741   1.37371e-05             0
     0.370306             0          0.01             0             0             0
     0.384688     0.0011156          0.01   -0.00251166   1.40742e-05             0
     0.384688             0          0.01             0             0             0
     0.399559     0.0011156          0.01   -0.00285121   1.41139e-05             0
     0.399559             0          0.01             0             0             0
     0.414934     0.0011156          0.01   -0.00319827   1.37727e-05             0
     0.414934             0          0.01             0             0             0
     0.430831     0.0011156          0.01   -0.00354208   1.29643e-05             0
     0.430831             0          0.01             0             0             0
     0.447268     0.0011156          0.01   -0.00386849   1.16053e-05             0
     0.447268             0          0.01             0             0             0
     0.464262     0.0011156          0.01   -0.00415986   9.62495e-06             0
     0.464262             0          0.01             0             0             0
     0.481833     0.0011156          0.01   -0.00439517    6.9775e-06             0
     0.481833             0          0.01             0             0             0
          0.5     0.0011156          0.01   -0.00454971   3.68632e-06             0
          0.5             0          0.01             0             0             0
     0.518167     0.0011156          0.01   -0.00460103  -8.29101e-08             0
     0.518167             0          0.01             0             0             0
     0.535738     0.0011156          0.01   -0.00454047  -4.07243e-06             0
     0.535738             0          0.01             0             0             0
     0.552732     0.0011156          0.01   -0.00437226  -8.05163e-06             0
     0.552732             0          0.01             0             0             0
     0.569169     0.0011156          0.01   -0.00410663  -1.18243e-05             0
     0.569169             0          0.01             0             0             0
     0.585066     0.0011156          0.01   -0.00375792  -1.52132e-05             0
     0.585066             0          0.01             0             0             0
     0.600441     0.0011156          0.01   -0.00334335  -1.80722e-05             0
     0.600441             0          0.01             0             0             0
     0.615312     0.0011156          0.01    -0.0028817  -2.02955e-05             0
     0.615312             0          0.01             0             0             0
     0.629694     0.0011156          0.01   -0.00239202  -2.18211e-05             0
     0.629694             0          0.01             0             0             0
     0.643605     0.0011156          0.01   -0.00189247  -2.26319e-05             0
     0.643605             0          0.01             0             0             0
     0.657059     0.0011156          0.01   -0.00139946  -2.27519e-05             0
     0.657059             0          0.01             0             0             0
     0.670071     0.0011156          0.01  -0.000926905  -2.22392e-05             0
     0.670071             0          0.01             0             0             0
     0.682657     0.0011156          0.01  -0.000485916  -2.11781e-05             0
     0.682657             0          0.01             0             0             0
     0.694829     0.0011156          0.01  -8.46297e-05  -1.96692e-05             0
     0.694829             0          0.01             0             0             0
     0.706602     0.0011156          0.01   0.000271672    -1.782e-05             0
     0.706602             0          0.01             0             0             0
     0.717988     0.0011156          0.01     0.0005803  -1.57377e-05             0
     0.717988             0          0.01             0             0             0
     0.729001     0.0011156          0.01   0.000840781  -1.35218e-05             0
     0.729001             0          0.01             0             0             0
     0.739653     0.0011156          0.01    0.00105443  -1.12604e-05             0
     0.739653             0          0.01             0             0             0
     0.749954     0.0011156          0.01     0.0012239  -9.02736e-06             0
     0.749954             0          0.01             0             0             0
     0.759918     0.0011156          0.01    0.00135279  -6.88109e-06             0
     0.759918             0          0.01             0             0             0
     0.769554     0.0011156          0.01    0.00144524  -4.86509e-06             0
     0.769554             0          0.01             0             0             0
     0.778875     0.0011156          0.01    0.00150568  -3.00909e-06             0
     0.778875             0          0.01             0             0             0
     0.787889     0.0011156          0.01    0.00153852  -1.33067e-06             0
     0.787889             0          0.01             0             0             0
     0.796608     0.0011156          0.01    0.00154805   1.62552e-07             0
     0.796608             0          0.01             0             0             0
      0.80504     0.0011156          0.01    0.00153825   1.47084e-06             0
      0.80504             0          0.01             0             0             0
     0.813196     0.0011156          0.01    0.00151274    2.6005e-06             0
     0.813196             0          0.01             0             0             0
     0.821084     0.0011156          0.01    0.00147476   3.56208e-06             0
     0.821084             0          0.01             0             0             0
     0.828713     0.0011156          0.01    0.00142712   4.36887e-06             0
     0.828713             0          0.01             0             0             0
     0.836092     0.0011156          0.01    0.00137224   5.03565e-06             0
     0.836092             0          0.01             0             0             0
     0.843229     0.0011156          0.01    0.00131215   5.57785e-06             0
     0.843229             0          0.01             0             0             0
     0.850131     0.0011156          0.01    0.00124855   6.01076e-06             0
     0.850131             0          0.01             0             0             0
     0.856807     0.0011156          0.01    0.00118283   6.34898e-06             0
     0.856807             0          0.01             0             0             0
     0.863263     0.0011156          0.01     0.0011161   6.60615e-06             0
     0.863263             0          0.01             0             0             0
     0.869508     0.0011156          0.01    0.00104927   6.79464e-06             0
     0.869508             0          0.01             0             0             0
     0.875548     0.0011156          0.01   0.000983011   6.92545e-06             0
     0.875548             0          0.01             0             0             0
      0.88139     0.0011156          0.01   0.000917873   7.00816e-06             0
      0.88139             0          0.01             0             0             0
      0.88704     0.0011156          0.01   0.000854252   7.05096e-06             0
      0.88704             0          0.01             0             0             0
     0.892504     0.0011156          0.01   0.000792443   7.06063e-06             0
     0.892504             0          0.01             0             0             0
     0.897789     0.0011156          0.01   0.000732658   7.04267e-06             0
     0.897789             0          0.01             0             0             0
     0.902901     0.0011156          0.01   0.000675043   7.00141e-06             0
     0.902901             0          0.01             0             0             0
     0.907845     0.0011156          0.01   0.000619697   6.94009e-06             0
     0.907845             0          0.01             0             0             0
     0.912626     0.0011156          0.01   0.000566683   6.86097e-06             0
     0.912626             0          0.01             0             0             0
     0.917251     0.0011156          0.01   0.000516036   6.76548e-06             0
     0.917251             0          0.01             0             0             0
     0.921724     0.0011156          0.01   0.000467778    6.6544e-06             0
     0.921724             0          0.01             0             0             0
      0.92605     0.0011156          0.01   0.000421916   6.52788e-06             0
      0.92605             0          0.01             0             0             0
     0.930234     0.0011156          0.01   0.000378452   6.38561e-06             0
     0.930234             0          0.01             0             0             0
     0.934281     0.0011156          0.01   0.000337386   6.22695e-06             0
     0.934281             0          0.01             0             0             0
     0.938195     0.0011156          0.01   0.000298714     6.051e-06             0
     0.938195             0          0.01             0             0             0
     0.941981     0.0011156          0.01   0.000262433   5.85673e-06             0
     0.941981             0          0.01             0             0             0
     0.945642     0.0011156          0.01   0.000228539   5.64305e-06             0
     0.945642             0          0.01             0             0             0
     0.949183     0.0011156          0.01   0.000197028    5.4089e-06             0
     0.949183             0          0.01             0             0             0
     0.952608     0.0011156          0.01   0.000167895   5.15333e-06             0
     0.952608             0          0.01             0             0             0
      0.95592     0.0011156          0.01   0.000141132   4.87556e-06             0
      0.95592             0          0.01             0             0             0
     0.959124     0.0011156          0.01   0.000116731   4.57505e-06             0
     0.959124             0          0.01             0             0             0
     0.962223     0.0011156          0.01   9.46751e-05   4.25159e-06             0
     0.962223             0          0.01             0             0             0
      0.96522     0.0011156          0.01   7.49456e-05   3.90534e-06             0
      0.96522             0          0.01             0             0             0
     0.968118     0.0011156          0.01   5.75143e-05   3.53693e-06             0
     0.968118             0          0.01             0             0             0
     0.970922     0.0011156          0.01   4.23449e-05   3.14754e-06             0
     0.970922             0          0.01             0             0             0
     0.973633     0.0011156          0.01   2.93903e-05   2.73905e-06             0
     0.973633             0          0.01             0             0             0
     0.976256     0.0011156          0.01   1.85912e-05   2.31418e-06             0
     0.976256             0          0.01             0             0             0
     0.978792     0.0011156          0.01   9.87331e-06   1.87674e-06             0
     0.978792             0          0.01             0             0             0
     0.981245     0.0011156          0.01   3.14471e-06   1.43197e-06             0
     0.981245             0          0.01             0             0             0
     0.983618     0.0011156          0.01  -1.70768e-06   9.87049e-07             0
     0.983618             0          0.01             0             0             0
     0.985913     0.0011156          0.01  -4.82321e-06   5.51949e-07             0
     0.985913             0          0.01             0             0             0
     0.988132     0.0011156          0.01  -6.37448e-06   1.40726e-07             0
     0.988132             0          0.01             0             0             0
     0.990279     0.0011156          0.01  -6.57732e-06  -2.26296e-07             0
     0.990279             0          0.01             0             0             0
     0.992355     0.0011156          0.01  -5.70561e-06  -5.18988e-07             0
     0.992355             0          0.01             0             0             0
     0.994363     0.0011156          0.01  -4.10841e-06  -6.92853e-07             0
     0.994363             0          0.01             0             0             0
     0.996305     0.0011156          0.01  -2.25391e-06  -6.82742e-07             0
     0.996305             0          0.01             0             0             0
     0.998183     0.0011156          0.01  -7.32989e-07  -4.32526e-07             0
