mass_A
t	v_{x}
0.0	
0.016666666666666514	0.17012382035353787
0.033333333333333486	0.1673789772971971
0.050000000000000454	0.18648917976774773
0.06666666666666697	0.23554148274809464
0.08333333333333348	0.23909144976375718
0.1	0.2657541704100156
0.11666666666666697	0.30277979138204797
0.1333333333333335	0.3154519727740929
0.15	0.34003805888948796
0.16666666666666696	0.3789324729934685
0.1833333333333335	0.4280390329666337
0.20000000000000046	0.3616328785194068
0.21666666666666698	0.30106664676364003
0.23333333333333348	0.312311753483692
0.25	0.2944135208921716
0.2666666666666665	0.2509504986426739
0.28333333333333394	0.15119245383792176
0.30000000000000043	0.2797347888714999
0.316666666666667	0.4435669800713409
0.3333333333333335	1.0178485472744507
0.35	1.1245262965417144
0.366666666666667	0.5148155433749105
0.38333333333333347	0.4473149369759782
0.4	0.5283635771182321
0.41666666666666696	0.5954236455014775
0.43333333333333346	0.5620784363736941
0.45000000000000046	0.54455253012797
0.46666666666666695	0.5189548955155971
0.48500000000000043	0.4873760238779527
0.5016666666666669	0.5274900947007093
0.5183333333333335	0.5657128509626353
0.5350000000000005	0.5899260041997588
0.551666666666667	0.6101431394773461
0.5683333333333335	0.6913512344767472
0.585	0.6461780553204409
0.601666666666667	0.5870785629955142
0.618333333333334	0.6024308529049048
0.6350000000000005	0.6474297311828022
0.651666666666667	0.7496559117071157
0.6683333333333334	0.6489010574108647
0.685	0.582605979502915
0.701666666666667	0.5421831846344253
0.7183333333333335	0.5836013616013638
0.7350000000000004	0.5593482489433517
0.7516666666666669	0.5999726429957158
0.7683333333333335	0.8862383522489538
0.7850000000000005	0.8933083389007292
0.801666666666667	1.004851914830943
0.8183333333333335	0.8411970634321615
0.835	0.5387536986214893
0.851666666666667	0.6607375518499558
0.868333333333334	0.8438094181436504
0.885	0.846445113781129
0.9016666666666665	0.7135833856836219
0.9183333333333339	0.7093433672333919
0.9350000000000005	0.721623905176385
0.9516666666666674	0.6885520148841971
0.9683333333333339	0.6473374308637894
0.985	0.6583783949578942
1.001666666666667	0.6783367234661168
1.018333333333334	0.6341629080684162
1.035	0.591241533218401
1.051666666666667	0.641700591738293
1.0683333333333331	0.948159327984811
1.085	1.1285460484560426
1.101666666666667	1.0270844984561749
1.118333333333333	0.9176691728590953
1.135	0.8753063362105522
1.151666666666666	0.9175496766225459
1.168333333333334	0.9210449462309183
1.185000000000001	0.8827539419586582
1.2016666666666669	0.854188750821973
1.218333333333334	0.8473465083216806
1.235	0.8115895228624525
1.251666666666667	0.7942262555305624
1.268333333333334	0.8457036395310668
1.285	0.8487460319458114
1.301666666666667	0.8113186424736301
1.3183333333333331	0.8180007688876533
1.335	0.84058104674646
1.351666666666667	0.8491656785889768
1.368333333333333	0.780207630158167
1.385	0.7779464511331435
1.401666666666667	0.8671458046038759
1.418333333333334	0.9399221352974586
1.435000000000001	0.9461713345450206
1.4516666666666669	0.9047018576545043
1.468333333333334	0.8262461753466952
1.485	0.8314754947830651
1.501666666666667	0.9228490417414719
1.518333333333334	0.897973422866546
1.535	0.9225511924444927
1.551666666666667	0.9193921317687412
1.5683333333333331	0.8551140428186024
1.585	0.8908175160472432
1.601666666666667	0.9005525100504109
1.618333333333333	0.8883645265797588
1.635	0.9143604804515002
1.651666666666667	0.9142916265870443
1.668333333333334	0.8961135894015847
1.685000000000001	0.867166357625227
1.7016666666666669	0.8574584513197777
1.718333333333334	0.9018893701218743
1.735	0.930261389833711
1.751666666666667	0.9333392548369079
1.768333333333334	0.8696536937016263
1.785	0.8415331701994793
1.801666666666667	0.8926368140924409
1.8183333333333331	0.8897385788429021
1.835	0.8858135819111557
1.851666666666667	0.889861133238055
1.868333333333333	0.8713232152955478
1.885	0.8551315956785196
1.901666666666667	0.9178133064729864
1.918333333333334	0.894943403023244
1.936666666666667	0.9304241064293592
1.953333333333333	0.9748478023774955
1.9700000000000009	0.9735776053374214
1.986666666666667	0.9589957680152379
2.003333333333334	0.8915259717332603
2.020000000000001	0.8953254285018618
2.036666666666667	0.8756729521417834
2.053333333333334	0.8887329722120164
2.07	0.9317144260345661
2.086666666666667	0.9942501451382593
2.103333333333334	1.0205135853501066
2.12	0.9430058260430992
2.136666666666667	0.8467320173215434
2.153333333333333	0.8760614788540001
2.17	0.9139450985741525
2.186666666666667	0.9187933060181004
2.203333333333333	0.934300931117019
2.220000000000001	0.9589946197161092
2.236666666666667	0.9171920776150922
2.253333333333334	0.9288869694806725
2.270000000000001	0.9752195949505573
2.286666666666667	0.916086466712902
2.303333333333334	0.9104164032710615
2.32	0.9341338403222321
2.336666666666667	0.9417114152160565
2.353333333333334	0.948234757799632
2.37	0.9146894561574976
2.386666666666667	0.8809768736049027
2.403333333333333	0.8957828300153908
2.42	0.9352720022890701
2.436666666666667	0.9431494131405302
2.453333333333333	0.9323870668081125
2.470000000000001	0.9251529150876692
2.486666666666667	0.9092311081160277
2.503333333333334	0.8774959316074418
2.520000000000001	0.9213958112262175
2.536666666666667	0.9611282695205798
2.553333333333334	0.9356775075339018
2.57	0.9618408309612391
2.586666666666667	0.9393102956869368
2.603333333333334	0.8845747803992595
2.62	0.8932596591048103
2.636666666666667	0.9163374060975109
2.653333333333333	0.8835969804895205
2.67	0.9207763014091045
2.686666666666667	0.9759746764620435
2.703333333333334	0.9521418000463553
2.720000000000001	0.954881427537827
2.736666666666667	0.9035932778475986
2.753333333333334	0.8502779470779054
2.770000000000001	0.8697421127211596
2.786666666666667	0.9433368821850718
2.803333333333334	0.9601130311937021
2.82	0.9144807478161359
2.836666666666667	0.9098126265969789
