mass_A
t	v_{x}	x
0.0		0.00356273901015422
0.0041666666666666284	-0.004865211706073527	0.0034774516150762047
0.008333333333333257	0.0234615188959038	0.0035221955792702486
0.0125	0.03576579812969168	0.003672964272542073
0.016666666666666743	0.040592502826781014	0.003820243897017711
0.02083333333333337	0.039187409258392446	0.004011235129431939
0.025	0.10562042740326363	0.004146805640837636
0.02916666666666663	0.12041205690829274	0.00489140535779245
0.033333333333333375	0.1743898207712075	0.005150239448406757
0.0375	0.24657930104508988	0.006344653864219174
0.04166666666666663	0.23974331318151626	0.007205066957115813
0.04583333333333337	0.27110172040918606	0.008342514807398504
0.05	0.2998401704370136	0.009464247960525696
0.054166666666666745	0.3591811762603607	0.010841182894373608
0.05833333333333337	0.28921638787668025	0.01245742442936204
0.0625	0.39290429564659884	0.013251319460012595
0.06666666666666662	0.5256041659823985	0.01573162689308369
0.07083333333333326	0.467581324123171	0.017631354176532554
0.07500000000000011	0.47451194142903136	0.0196281379274435
0.07916666666666675	0.4952912716592674	0.021585620355107887
0.08333333333333337	0.5222907112633011	0.0237555651912707
0.0875	0.2574457016903352	0.025938042948968676
0.09166666666666663	0.5647345657362821	0.025900946038690142
0.09583333333333337	0.7203690729350921	0.03064416433010439
0.1	0.6084677640225353	0.031904021646482594
0.10416666666666663	0.7625798247996083	0.03571472903029213
0.10833333333333336	0.6432500822887753	0.0382588535198127
0.1125	0.6747955611107662	0.04107514638269863
0.11666666666666674	0.6811615462292723	0.043882149862402436
0.12083333333333338	0.5247001615025015	0.046751492601275896
0.125	0.7277724440220098	0.04825465120825659
0.12916666666666662	0.9204540268293143	0.05281626296812589
0.13333333333333325	0.7646279317175781	0.055925101431834184
0.13750000000000012	0.7708310867604957	0.059188162399105876
0.14166666666666675	0.7727653618738347	0.062348693821505125
0.14583333333333337	0.7927838110451946	0.06562787374805443
0.15	0.40129029110968406	0.06895522558021497
0.15416666666666662	0.8119137101216873	0.06897195950730176
0.15833333333333338	0.8100423827699939	0.07572117316456237
0.1625	0.8151344223004247	0.07572231269705179
0.16666666666666674	1.2279057214660345	0.08251396001706587
0.17083333333333336	0.8354770953267514	0.08595486037593539
0.175	0.8196606963641488	0.0894762691447887
0.17916666666666675	0.7853709813140449	0.09278536617897001
0.18333333333333338	0.3833197068306668	0.09602102732240578
0.1875	0.8212755037615653	0.09597969706922557
0.19166666666666662	0.8315276805475879	0.10286498985375206
0.19583333333333325	0.8080483996687806	0.10290909440712201
0.20000000000000012	1.1939263126671986	0.10959872651765876
0.20416666666666675	0.7944920930663708	0.11285848034601556
0.20833333333333337	0.7922951341821639	0.11621949395987843
0.2125	0.7581048463186075	0.11946093979753356
0.21666666666666662	0.37103071913268315	0.1225370343458668
0.22083333333333338	0.7424931376209365	0.12255286245697258
0.225	0.7420390639185189	0.1287244771593746
0.22916666666666674	0.7147609123207493	0.1287365213229603
0.23333333333333336	1.0390118376119106	0.13468081809538088
0.2375	0.6584086643757534	0.13739495330305942
0.24166666666666675	0.6612694334053325	0.14016755696517888
0.24583333333333338	0.6444560497005404	0.1429055319147706
0.25	0.3095902499523244	0.14553802404601665
0.25416666666666665	0.5682117219964047	0.14548545066437327
0.25833333333333325	0.865768591624993	0.15027312172931998
0.2625000000000001	0.562622468880663	0.152700188927915
0.2666666666666667	0.5367076530778404	0.15496164230332557
0.27083333333333337	0.5031284040789972	0.1571727527035636
0.275	0.35846625998754994	0.15915437900398385
0.2791666666666666	0.4727309510341026	0.16015997153679315
0.2833333333333334	0.4594158260203264	0.16309380359593476
0.2875	0.40800469318191246	0.1639884367536292
0.29166666666666663	0.48165546315114693	0.16649384270578396
0.2958333333333333	0.35179154019111386	0.16800223227988878
0.2999999999999999	0.3376124586671074	0.16942543887404324
0.30416666666666664	0.3086123602463175	0.170815669435448
0.30833333333333346	0.27733288833502173	0.1719972085427626
0.3125000000000001	0.18710295704277746	0.17312677683823988
0.3166666666666669	0.24261894050007835	0.17355639985145246
0.32083333333333336	0.2777796664566743	0.1751486013424072
0.3250000000000001	0.17029889803428513	0.17587123040525807
0.3291666666666666	0.15141222566887177	0.17656775882602624
0.33333333333333337	0.12787946707644102	0.17713299895249865
0.33750000000000013	0.12650905888904776	0.17763342105166327
0.3416666666666666	0.06887953990554109	0.17818724110990733
0.3458333333333334	0.05713195459528223	0.17820741721754277
0.34999999999999987	0.05779800451929082	0.1786633407315347
0.35416666666666663	0.009553941745635997	0.17868906725520353
0.3583333333333334	-0.008499124908891735	0.1787429569127483
0.3624999999999999	-0.023610937797738416	0.17861824121429606
0.36666666666666686	-0.04148023766545994	0.17854619909776717
0.37083333333333335	-0.05511440800260554	0.17827257256708393
0.3750000000000001	-0.05399808063331904	0.17808691236441213
0.3791666666666669	-0.03356102422214745	0.17782258856180624
0.38333333333333336	-0.07684788769826909	0.1778072371625609
0.3875000000000001	-0.1202132803497966	0.177182189497654
0.3916666666666666	-0.08279227933597018	0.1768054598263126
0.39583333333333337	-0.07836975741065527	0.17649225383652092
0.40000000000000013	-0.07946261274123334	0.17615237851455715
0.4041666666666666	-0.0594911632536929	0.17583006539701065
0.4083333333333334	-0.05511141571506763	0.17565661882077635
0.41249999999999987	-0.05949113634383185	0.1753708035993851
0.41666666666666663	-0.0652149630523391	0.17516085935124445
0.4208333333333334	-0.06464425101022797	0.17482734557394894
0.4249999999999999	-0.060113712503852335	0.17462215725949257
0.42916666666666686	-0.06069872816593743	0.17432639796975016
0.43333333333333335	-0.05241645077724472	0.1741163345247764
0.4375000000000001	-0.05738644741156301	0.17388959421327313
